seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
0,16,4,0.55,0.65,wrong,4,exact LNS,36584,3.8383016478535863,0.08203641699967773,16,9.580980986356735e-07,,0,0,1024,0.07382873749091666,0.0,0.5
0,16,4,0.55,0.65,wrong,4,annealing,36584,3.8383016478535863,0.08203641699967773,89,7.258402183651924e-05,,0,0,5696,0.07382873749091666,0.0,0.5
0,16,4,0.55,0.65,wrong,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0015740840462967753,0.4176213874171932,1,256,5696,0.07382873749091666,0.0,0.5
0,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0015730420127511024,0.3074272726424811,1,64,5696,0.07382873749091666,0.0,0.75
0,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0026516669895499945,0.34162805038239064,2,64,5696,0.07382873749091666,0.0,0.75
0,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0026392500149086118,0.34162805038239064,2,256,5696,0.07382873749091666,0.0,0.75
0,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0026534170610830188,0.34162805038239064,2,1024,5696,0.07382873749091666,0.0,0.75
0,16,4,0.55,0.65,inferred-noise,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0016455419827252626,0.282934545378233,1,256,5696,0.07382873749091666,0.1,0.75
0,16,4,0.55,0.65,inferred-noise,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.001656958949752152,0.2461954544818608,1,256,5696,0.07382873749091666,0.25,0.75
0,16,4,0.55,0.65,inferred-noise,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0015312089817598462,0.18496363632124055,1,256,5696,0.07382873749091666,0.5,0.75
1,16,4,0.55,0.65,full,16,deployed,25391,1.405877122828039,0.0,0,0.0,,0,0,0,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,full,16,exact enumeration,25391,1.405877122828039,0.0,65536,0.0,,0,0,68719476736,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,full,16,MILP,25391,1.405877122828039,0.0,0,0.010185542050749063,,0,0,0,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,full,16,annealing,25391,1.405877122828039,0.0,89,8.887506555765867e-05,,0,0,93323264,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,full,16,QAOA,57743,2.6186095445612882,0.5040708065371675,89,0.23363308305852115,0.0033279914605704717,1,256,93323264,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,true,4,exact LNS,25391,1.405877122828039,0.0,16,1.500011421740055e-06,,0,0,1024,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,true,4,annealing,25391,1.405877122828039,0.0,89,7.883296348154545e-05,,0,0,5696,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,true,4,QAOA,25391,1.405877122828039,0.0,89,0.0017128749750554562,0.4704295815006076,1,256,5696,0.19780876541453746,0.0,1.0
1,16,4,0.55,0.65,inferred,4,exact LNS,25391,1.405877122828039,0.0,16,1.5420373529195786e-06,,0,0,1024,0.19780876541453746,0.0,0.75
1,16,4,0.55,0.65,inferred,4,annealing,25391,1.405877122828039,0.0,89,8.245802018791437e-05,,0,0,5696,0.19780876541453746,0.0,0.75
1,16,4,0.55,0.65,inferred,4,QAOA,25391,1.405877122828039,0.0,89,0.0015597919700667262,0.46531294854889543,1,256,5696,0.19780876541453746,0.0,0.75
1,16,4,0.55,0.65,wrong,4,exact LNS,25391,1.405877122828039,0.0,16,9.998911991715431e-07,,0,0,1024,0.19780876541453746,0.0,0.5
1,16,4,0.55,0.65,wrong,4,annealing,25391,1.405877122828039,0.0,89,7.141707465052605e-05,,0,0,5696,0.19780876541453746,0.0,0.5
1,16,4,0.55,0.65,wrong,4,QAOA,25391,1.405877122828039,0.0,89,0.001597000053152442,0.4795207857518002,1,256,5696,0.19780876541453746,0.0,0.5
1,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,25391,1.405877122828039,0.0,89,0.0016059170011430979,0.46531294854889543,1,64,5696,0.19780876541453746,0.0,0.75
1,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,25391,1.405877122828039,0.0,89,0.0026511249598115683,0.4726955062260851,2,64,5696,0.19780876541453746,0.0,0.75
