n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
10000,16,9,10,70,0.007,0.003541,29992
10000,17,0,10,71,0.0071,0.006459,29988
10000,17,1,10,81,0.0081,0.005375,29988
10000,17,2,10,74,0.0074,0.004166,29988
10000,17,3,10,70,0.007,0.003625,29988
10000,17,4,10,68,0.0068,0.003667,29988
10000,17,5,10,66,0.0066,0.003459,29988
10000,17,6,10,68,0.0068,0.003333,29988
10000,17,7,10,70,0.007,0.003917,29988
10000,17,8,10,67,0.0067,0.003667,29988
10000,17,9,10,70,0.007,0.003792,29988
10000,18,0,10,70,0.007,0.007125,29992
10000,18,1,10,63,0.0063,0.004125,29992
10000,18,2,10,63,0.0063,0.003708,29992
10000,18,3,10,68,0.0068,0.003625,29992
10000,18,4,10,68,0.0068,0.003875,29992
10000,18,5,10,73,0.0073,0.003792,29992
